Date,Store ID,Product ID,Category,Region,Weather Condition,Seasonality,Units Sold,Price,Discount,Inventory Level,Demand Forecast,Holiday/Promotion,Competitor Pricing,Location,month,season
2023-01-01,S1,P202,Beverages,West,Stormy,Medium,127,2.4,0.02,187,119,0,2.29,Bristol,1,Winter
2023-01-01,S1,P761,Bakery,North,Stormy,High,106,2.91,0.05,376,107,0,6.5,Leeds,1,Winter
2023-01-01,S1,P956,Dairy,North,Rainy,Low,94,6.57,0.11,343,102,0,1.42,Leeds,1,Winter
2023-01-01,S1,P746,Snacks,North,Sunny,Low,96,9.48,0.17,876,100,0,3.08,Leeds,1,Winter
2023-01-01,S1,P554,Produce,West,Sunny,Low,95,6.96,0.09,489,102,0,6.11,Manchester,1,Winter
2023-01-01,S2,P829,Beverages,West,Stormy,High,157,6.38,0.28,555,154,0,5.69,Bristol,1,Winter
2023-01-01,S2,P824,Bakery,West,Cloudy,Medium,109,6.46,0.08,256,105,0,1.67,Bristol,1,Winter
2023-01-01,S2,P620,Dairy,West,Sunny,Low,101,1.13,0.06,491,95,0,7.94,Bristol,1,Winter
2023-01-01,S2,P589,Snacks,East,Rainy,High,96,1.86,0.11,673,93,0,7.57,Norwich,1,Winter
2023-01-01,S2,P825,Produce,East,Rainy,Low,104,9.75,0.25,104,119,0,7.94,Norwich,1,Winter
2023-01-01,S3,P894,Beverages,North,Cloudy,Low,122,9.06,0.14,195,118,0,2.25,Leeds,1,Winter
2023-01-01,S3,P848,Bakery,East,Cloudy,Low,94,1.69,0.09,185,89,0,6.62,Norwich,1,Winter
2023-01-01,S3,P895,Dairy,West,Sunny,Medium,93,2.1,0.11,289,102,0,3.05,Bristol,1,Winter
2023-01-01,S3,P844,Snacks,East,Sunny,Medium,115,4.76,0.07,918,113,0,3.2,Norwich,1,Winter
2023-01-01,S3,P791,Produce,North,Sunny,Low,116,7.41,0.04,180,110,0,9.79,Leeds,1,Winter
2023-01-01,S4,P835,Beverages,North,Rainy,Medium,128,5.78,0.13,809,128,0,7.05,Leeds,1,Winter
2023-01-01,S4,P283,Bakery,East,Sunny,High,107,4.59,0.24,243,102,0,3.89,Norwich,1,Winter
2023-01-01,S4,P563,Dairy,North,Cloudy,Low,99,2.98,0.21,610,108,0,6.81,Leeds,1,Winter
2023-01-01,S4,P588,Snacks,North,Sunny,Medium,109,7.62,0.06,514,114,0,3.32,Leeds,1,Winter
2023-01-01,S4,P445,Produce,West,Rainy,Medium,118,3.18,0.03,751,116,0,8.94,Bristol,1,Winter
2023-01-01,S5,P332,Beverages,East,Cloudy,High,144,8.99,0.26,724,153,0,9.09,Norwich,1,Winter
